,droit_d_auteur,Llama2-7B Accuracy,Pythia7B Accuracy,Pythia12B Accuracy,Olmo-7B Accuracy,Mistral7B Instruct Accuracy,Mixtral7x8B Accuracy,Mistral7B Accuracy,GPT-4 Accuracy,ChatGPT Accuracy,BERT Accuracy,Author,Title,Year,Bing Hits,Google Hits,Dolma Hits,C4 Hits,Pile Hits,Source,Sub-source,average,Source：Sub-source,ChatGPT predicted year,GPT-4 predicted year,ID,Date of Birth,Date of Death
224,private,0,0,0,0,0,0.01,0,0.03,0.01,0,Roxane Gay,Difficult Women,2017,0.1,0.4,1.5,0.1,1,BCALA,,,BCALA,2010,2005,gay_difficult_women_Difficult_Women,1974/10/15,
217,private,0,0,0,0,0.01,0.02,0,0.03,0.02,0,Junot Díaz,The Brief Wondrous Life of Oscar Wao,2008,0.1,4.2,1.2,0,2,Pulitzer,,,Pulitzer,2000,2007,diaz_the_brief_wondrous_life_of_oscar_wao_The_Brief_Wondrous_Life_of_Oscar_Wao,1968/12/31,
206,public,0,0.01,0,0,0.01,0,0.01,0.03,0.02,0.01,W. E. B. (William Edward Burghardt) Du Bois,The Quest of the Silver Fleece: A Novel,1911,0.1,1.1,1.4,0.1,2,pre-1923 LitBank,,,pre-1923 LitBank,1915,1911,15265_the_quest_of_the_silver_fleece_a_novel,1868-02-23,1963/8/27
218,private,0,0,0,0,0,0.01,0,0.03,0.01,0.01,Caryl Phillips,Cambridge,1991,0,0.2,0,0,0.3,Global,Americas,,Global,Unknown (as there is no clear indication of a specific year in the passage),1850,phillips_cambridge_Cambridge,1958/3/13,
221,private,0,0,0,0,0,0,0,0.03,0.01,0,Anthony Doerr,All the Light We Cannot See,2015,1.4,4.1,1.4,0.1,2.8,Bestsellers,,,Bestsellers,1944,2014,doerr_all_the_light_we_cannot_see_All_the_Light_We_Cannot_See,1973/10/27,
222,private,0,0,0,0,0.01,0.01,0,0.03,0.02,0,Colum McCann,Let the Great World Spin,2009,0,0.9,0,0,1,Global,Europe,,Global,1975,1985,mccann_let_the_great_world_spin_Let_the_Great_World_Spin,1965/2/28,
223,private,0,0,0,0,0,0,0,0.03,0.02,0,Daphne du Maurier,My Cousin Rachel,1952,0.1,1.1,0.3,0.6,2,Bestsellers,,,Bestsellers,1951,1951,dumaurier_my_cousin_rachel_My_Cousin_Rachel,1907/5/13,1989/4/19
226,private,0,0,0,0,0,0.01,0,0.03,0.01,0,Michael Shaara,The Killer Angels,1975,0.2,1.9,0.3,0.1,1,Pulitzer,,,Pulitzer,1863,1963,shaara_the_killer_angels_The_Killer_Angels,1928/6/23,1988/5/5
205,private,0,0,0,0,0.01,0,0,0.03,0.01,0,John Cheever,The Stories of John Cheever,1979,0.4,1.4,3,0.1,3.5,Pulitzer,,,Pulitzer,1952,1950,cheever_stories_of_john_cheever_The_Stories_of_John_Cheever,1912/5/27,1982/6/18
204,private,0,0,0,0,0.01,0,0,0.03,0,0,Chimamanda Ngozi Adichie,Americanah,2013,0,2.2,0.4,0,2.1,Global,Africa,,Global,2003,2000,adichie_americanah_Americanah,1977/9/15,
191,private,0,0,0,0,0,0,0,0.03,0.02,0,Herman Wouk,The Caine Mutiny,1952,0,0.8,0,0,2,Pulitzer,,,Pulitzer,1951,1951,wouk_the_caine_mutiny_The_Caine_Mutiny,1915/5/27,2019/5/17
202,private,0,0,0,0,0.02,0,0,0.03,0.02,0,John Edgar Wideman,Philadelphia Fire,1990,0,0.2,0.2,0.1,2,BBIP,,,BBIP,1985,1985,wideman_philadelphia_fire_Philadelphia_Fire,1941/1/1,
188,public,0,0,0,0,0,0,0.01,0.03,0.03,0.01,B. M. Bower,The Flying U Ranch,1914,0,0.1,1.5,1.1,5,pre-1923 LitBank,,,pre-1923 LitBank,1920,1915,1206_the_flying_u_ranch,1871-11-15,1940/7/22
185,private,0,0,0,0,0,0,0,0.03,0.01,0.01,Thomas Sigismund Stribling,The Store,1933,0,0,0,0,0,Pulitzer,,,Pulitzer,1930,1940,stribling_the_store_The_Store,1881-03-04,1965/7/8
190,public,0,0,0,0,0,0,0,0.03,0.01,0,Peter Taylor,A Summons to Memphis,1987,0,0.2,0,0.8,0.4,Pulitzer,,,Pulitzer,1950,1950,taylor_a_summons_for_memphis_A_Summons_to_Memphis,1714-11-11,1777-11-03
187,private,0,0,0,0,0,0,0,0.03,0.02,0,Edna O'Brien,House of Splendid Isolation,1994,0,0,0,0,0,Global,Europe,,Global,1922,1945,o_brien_house_of_splendid_isolation_House_of_Splendid_Isolation,1930/12/15,
192,public,0,0,0,0.02,0.01,0,0,0.03,0.01,0.01,Charles W. (Charles Waddell) Chesnutt,The House Behind the Cedars,1900,0,2.4,2.8,0.5,5,pre-1923 LitBank,,,pre-1923 LitBank,1870,1898,472_the_house_behind_the_cedars,1858-06-20,1932/1/1
189,private,0,0,0,0,0,0,0,0.03,0,0,Ken Saro-Wiwa,Sozaboy,1985,0,0.1,0,0,0,Global,Africa,,Global,Uncertain,1960,saro_wiwa_sozaboy_Sozaboy,1941/10/10,1995/11/10
182,private,0,0,0,0,0,0,0,0.03,0,0,William Styron,The Confessions of Nat Turner,1968,0.2,0.3,0.1,0,3,Pulitzer,,,Pulitzer,1863,1960,styron_confessions_of_nat_turner_The_Confessions_of_Nat_Turner,1925/6/11,2006/11/1
194,private,0,0,0,0,0,0,0,0.03,0,0.01,Samuel Selvon,The Lonely Londoners,1956,0.1,0.9,0.1,0,1,Global,Americas,,Global,1960,1956,selvon_the_lonely_londoners_The_Lonely_Londoners,1923/5/20,1994/4/16
195,private,0,0,0,0,0,0,0,0.03,0.01,0,Florence Johnny Frisbie,Miss Ulysses from Pukapuka,1948,0,0,0,0,0,Global,Oceania,,Global,1930,1940,frisbie_miss_ulysses_from_puka_puka_Miss_Ulysses_from_Pukapuka,1932/1/1,
196,private,0,0,0,0,0,0,0,0.03,0.01,0,Daphne du Maurier,Rebecca,1938,1.2,3,0,0,1,Genre Fiction,Mystery/Crime,,Genre Fiction：Mystery/Crime,1938,1938,dumaurier_rebecca_Rebecca,1907/5/13,1989/4/19
198,private,0,0,0,0,0,0,0,0.03,0.02,0,Mohsin Hamid,Exit West,2017,2.1,16.7,2.3,1.5,2.1,Global,Asia,,Global,2017,2017,hamid_exit_west_Exit_West,1971/7/23,
200,public,0,0,0,0,0,0.01,0.01,0.03,0.01,0.01,Mary Stewart,This Rough Magic,1964,0,0,0.4,0,0,Bestsellers,,,Bestsellers,1960,1965,stewart_this_rough_magic_This_Rough_Magic,1648-01-01,1682-01-01
201,public,0,0,0,0,0.02,0.01,0,0.03,0.01,0.01,Lloyd C. Douglas,The Big Fisherman,1949,0.1,0.6,0,0,0.6,Bestsellers,,,Bestsellers,Unknown (as there is not enough information to make a prediction),1900,douglas_the_big_fisherman_The_Big_Fisherman,1877-08-27,1951/2/13
199,private,0,0,0,0,0,0.01,0,0.03,0.01,0.01,Anne Rice,The Witching Hour,1990,0.9,1.1,0.1,0.1,1,Genre Fiction,Horror,,Genre Fiction：Horror,1967,1980,rice_the_witching_hour_The_Witching_Hour,1941/10/4,2021/12/11
277,private,0,0,0.01,0,0.02,0.02,0.03,0.02,0.02,0.01,Thomas B. Costain,The Silver Chalice,1953,0,1.4,0.1,0,1,Bestsellers,,,Bestsellers,Cannot predict accurately as there is not enough context to determine the time period or historical events referenced.,1920,costain_the_silver_chalice_The_Silver_Chalice,1885-05-08,1965/10/8
232,private,0,0.01,0.01,0.01,0,0,0.03,0.02,0.01,0,Susan Choi,American Woman,2004,0,0,0,0,2,Pulitzer,,,Pulitzer,1973,1974,choi_american_woman_American_Woman,1969/1/28,
279,private,0,0,0,0.01,0.01,0.02,0.02,0.02,0.02,0,Robert Lewis Taylor,The Travels of Jaimie McPheeters,1959,0,0,0,0,1.8,Pulitzer,,,Pulitzer,Unknown (as there is no clear indication of the year in the passage),1885,taylor_the_travels_of_jaimie_mcpheeters_The_Travels_of_Jaimie_McPheeters,1912/9/24,1998/9/30
284,private,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0,Octavia Butler,Kindred,1979,0.2,3.3,0.6,0.1,0,BBIP,,,BBIP,1850,1979,butler_kindred_Kindred,1947/6/22,2006/2/24
283,private,0,0,0,0,0,0.01,0.01,0.02,0,0,Shirley Jackson,We Have Always Lived in the Castle,1962,0,1.8,0.6,0.8,2,Genre Fiction,Horror,,Genre Fiction：Horror,1951,1950,jackson_the_lottery_haunting_hill_house_we_have_always_lived_in_the_castle_We_Have_Always_Lived_in_the_Castle,1916/12/14,1965/8/8
286,public,0,0,0,0,0,0,0,0.02,0,0,Sinclair Lewis,Dodsworth,1929,0,1,0.6,0,0.1,Bestsellers,,,Bestsellers,1920,1930,lewis_arrowsmith_elmer_gantry_dodsworth_Dodsworth,1885-02-07,1951/1/10
287,public,0,0,0,0,0.01,0.01,0.01,0.02,0,0,Mary Johnston,To Have and to Hold,1899,1.2,1.5,2,0.2,4,pre-1923 LitBank,,,pre-1923 LitBank,17th century (exact year cannot be determined as the passage is set in the 17th century),1890,2807_to_have_and_to_hold,1870-11-21,1936/5/9
270,private,0,0,0,0.01,0.01,0,0.01,0.02,0,0,Elizabeth Strout,Olive Kitteridge,2009,0.3,0.8,5.2,0.1,2.1,Pulitzer,,,Pulitzer,1967,1975,strout_olive_kitteridge_Olive_Kitteridge,1956/1/6,
291,private,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0,Herman Wouk,Marjorie Morningstar,1955,0,0.1,0,0,1.6,Bestsellers,,,Bestsellers,1955,1955,wouk_marjorie_morningstar_Marjorie_Morningstar,1915/5/27,2019/5/17
290,private,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0,Jude Deveraux,A Knight in Shining Armor,1989,0.1,0.3,0.3,0,0,Genre Fiction,Romance,,Genre Fiction：Romance,1989,1985,deveraux_a_knight_in_shining_armor_A_Knight_in_Shining_Armor,1947/9/20,
292,private,0,0,0,0,0.02,0.01,0.01,0.02,0.01,0,Iain Banks,The Wasp Factory,1984,0,1.7,0.9,0,1.1,Global,Europe,,Global,1982,1985,banks_the_wasp_factory_The_Wasp_Factory,1954/2/16,2013/6/9
311,private,0,0,0,0,0,0.02,0.01,0.02,0.01,0,John P. Marquand,Wickford Point,1939,0,0,0,0,0,Bestsellers,,,Bestsellers,1950,1930,marquand_wickford_point_Wickford_Point,1893-11-10,1960/7/16
278,public,0,0,0,0,0,0,0,0.02,0.01,0,Anthony Hope,The Prisoner of Zenda,1894,0.2,3.1,1.5,0.7,6.2,pre-1923 LitBank,,,pre-1923 LitBank,1894,1894,95_the_prisoner_of_zenda,1863-02-09,1933/7/8
310,private,0,0,0,0.01,0.01,0.02,0.01,0.02,0.01,0,Ayi Kwei Armah,The Beautyful Ones Are Not Yet Born,1968,0,1.7,0.2,0,0,Global,Africa,,Global,1950,1950,armah_the_beautyful_ones_are_not_yet_born_The_Beautyful_Ones_Are_Not_Yet_Born,1939/10/28,
308,private,0,0,0,0,0.02,0.02,0.01,0.02,0.03,0,Pearl Cleage,I Wish I Had A Red Dress,2001,0,0.1,0,0.1,0,BCALA,,,BCALA,1982,1985,cleage_i_wish_i_had_a_red_dress_I_Wish_I_Had_A_Red_Dress,1948/12/7,
307,private,0,0,0,0,0,0,0.01,0.02,0.01,0,George Lamming,In the Castle of My Skin,1953,0,0,0,0,2,Global,Americas,,Global,1950,1960,lamming_in_the_castle_of_my_skin_In_the_Castle_of_My_Skin,1927/6/8,2022/6/4
306,private,0,0,0,0,0,0.01,0.01,0.02,0.01,0,Merle Hodge,"Crick Crack, Monkey",1970,0.1,0.8,0,0,0,Global,Americas,,Global,1950,1950,"hodge_crick_crack_monkey_Crick_Crack,_Monkey",1944/1/1,
305,private,0,0,0,0,0.02,0.01,0.01,0.02,0.02,0.01,Russell Janney,The Miracle of the Bells,1947,0,0,0,0,0,Bestsellers,,,Bestsellers,1923,1930,janney_the_miracle_of_the_bells_The_Miracle_of_the_Bells,1884-04-14,1963/7/14
304,private,0,0,0,0,0,0.02,0.01,0.02,0,0,Ernest Gaines,A Lesson Before Dying,1993,0.2,1.3,2.9,0.2,2.1,BBIP,,,BBIP,1940,1968,gaines_a_lesson_before_dying_A_Lesson_Before_Dying,1933/1/15,2019/11/5
303,private,0,0,0,0.01,0.01,0.03,0.01,0.02,0.02,0.01,Danielle Steel,The Gift,1994,0,0.8,0.5,0,1,Bestsellers,,,Bestsellers,1978,1980,steel_the_gift_The_Gift,1947/8/14,
302,public,0,0,0,0,0,0.01,0,0.02,0.01,0,Edna Ferber,"Personality Plus: Some Experiences of Emma McChesney and Her Son, Jock",1914,0.3,5.1,2.4,0.1,0.2,pre-1923 LitBank,,,pre-1923 LitBank,1920,1920,12677_personality_plus_some_experiences_of_emma_mcchesney_and_her_son_jock,1885-08-15,1968/1/1
301,,0,0,0,0,0.01,0.02,0.01,0.02,0.01,0,Leonard Wise,Dumachas and Sheba,1979,0.1,0,0,0,0,BBIP,,,BBIP,No prediction can be made as the passage does not provide enough context or clues about the time period.,1950,wise_dumachas_and_sheba_Dumachas_and_Sheba,,
300,private,0,0.01,0,0.01,0.02,0.01,0.01,0.02,0.02,0,Nadine Gordimer,July's People,1981,0.6,2.1,0.4,0,1,Global,Africa,,Global,1979,1965,gordimer_julys_people_July_s_People,1923/11/20,2014/7/13
298,private,0,0,0,0,0.01,0.01,0.01,0.02,0.01,0.02,Alan Furst,Dark Star,1991,0.1,0.1,4.1,0,2.1,Genre Fiction,Action/Spy,,Genre Fiction：Action/Spy,1944,1940,furst_dark_star_Dark_Star,1941/2/20,
241,private,0,0,0,0,0.01,0,0.01,0.02,0.03,0.01,Jerry B. Jenkins and Tim LaHaye,Desecration,2001,0.3,1610.5,0.1,1.1,9.7,Bestsellers,,,Bestsellers,2006,1995,lahaye_desecration_Desecration,1949/9/23,
309,public,0,0,0,0,0,0.02,0,0.02,0.01,0,Charles Johnson,Middle Passage,1990,0,0,0.1,0,0,BBIP,,,BBIP,18th century (exact year uncertain),1850,johnson_middle_passage_Middle_Passage,1752-01-01,1802-07-23
239,private,0,0,0,0,0,0,0.01,0.02,0.02,0,Harold L. Davis,Honey in the Horn,1936,0,0,0,0,0,Pulitzer,,,Pulitzer,1952,1930,davis_honey_in_the_horn_Honey_in_the_Horn,1894-10-18,1960/1/1
246,private,0,0,0,0,0,0,0.01,0.02,0,0,Salman Rushdie,Midnight’s Children,1981,0.1,2.3,0,0.2,0,Global,Asia,,Global,1960,1960,rushdie_midnights_children_Midnight’s_Children,1947/6/19,
259,private,0,0,0,0,0,0,0.01,0.02,0,0,Zadie Smith,White Teeth,2000,0.4,12.6,0.3,0.2,2,Global,Europe,,Global,2000,2000,smith_white_teeth_White_Teeth,1975/10/25,
249,private,0,0,0,0,0,0,0.01,0.02,0,0,John le Carré,"Tinker, Tailor, Soldier, Spy",1974,0.2,2,0.4,0.2,3.3,Genre Fiction,Action/Spy,,Genre Fiction：Action/Spy,1974,1974,"lecarre_tinker_tailor_soldier_spy_Tinker,_Tailor,_Soldier,_Spy",1931/10/19,2020/12/12
266,private,0,0,0,0,0,0,0.01,0.02,0.01,0.01,Alice Sebold,The Lovely Bones,2002,0.6,2.6,1.5,0,1.2,Bestsellers,,,Bestsellers,2002,2002,sebold_the_lovely_bones_The_Lovely_Bones,1963/9/6,
262,private,0,0,0,0,0,0,0.01,0.02,0.01,0,Nayantara Sahgal,Rich Like Us,1985,0,0,0,0,0,Global,Asia,,Global,1984,1985,sahgal_rich_like_us_Rich_Like_Us,1927/5/10,
258,private,0,0,0,0,0,0,0.01,0.02,0.01,0,Laila Lalami,The Moor's Account,2015,0.1,0.9,0.1,0,0.9,Pulitzer,,,Pulitzer,1540,1980,lalami_the_moors_account_The_Moor_s_Account,1968/2/24,
254,private,0,0,0,0,0.01,0,0.01,0.02,0.03,0,Elizabeth Kostova,The Historian,2005,0,0.6,0.2,0,2,Genre Fiction,Horror,,Genre Fiction：Horror,Unknown (as there is no clear indication of a specific year in the passage),1950,kostova_the_historian_The_Historian,1964/12/26,
257,private,0,0,0,0,0.02,0,0.01,0.02,0.04,0,Oscar Hijuelos,The Mambo Kings Play Songs of Love,1990,0,1,0,0,1.1,Pulitzer,,,Pulitzer,1982,1985,hijuelos_the_mambo_kings_play_songs_of_love_The_Mambo_Kings_Play_Songs_of_Love,1951/8/24,2013/10/12
282,private,0,0,0,0,0.01,0.01,0,0.02,0.01,0.01,Terry McMillan,Waiting to Exhale,1992,0.2,547,0,0.5,1.8,BBIP,,,BBIP,2010,1992,mcmillan_waiting_to_exhale_Waiting_to_Exhale,1953/10/12,2007/2/2
289,private,0,0,0,0,0,0,0,0.02,0,0,NoViolet Bulawayo,We Need New Names,2013,0.3,1.6,0.3,0,2,Global,Africa,,Global,2013,2005,bulawayo_we_need_new_names_We_Need_New_Names,1981/10/12,
288,private,0,0,0,0.01,0,0,0,0.02,0,0,Kathleen Winsor,Forever Amber,1944,0.1,0.4,0,0.1,1.1,Genre Fiction,Romance,,Genre Fiction：Romance,1920,1930,winsor_forever_amber_Forever_Amber,1919/10/16,2003/5/26
281,private,0,0,0,0,0,0.01,0,0.02,0.01,0,Marilynne Robinson,Housekeeping,1982,0.9,4.5,0.1,0.2,1.4,Pulitzer,,,Pulitzer,1970,1980,robinson_housekeeping_Housekeeping,1943/11/26,
280,private,0,0,0,0,0,0.01,0,0.02,0.01,0,Kiran Desai,The Inheritance of Loss,2006,1.4,5.7,0.6,0.1,2.8,Global,Asia,,Global,2007,2000,desai_the_inheritance_of_loss_The_Inheritance_of_Loss,1971/9/3,
276,private,0,0,0,0,0,0.02,0,0.02,0.02,0.01,Edwin O'Connor,The Edge of Sadness,1962,0,0,0,0,0,Pulitzer,,,Pulitzer,1930,1935,o_connor_the_edge_of_sadness_The_Edge_of_Sadness,1918/7/29,1968/3/23
285,public,0,0,0,0,0,0.01,0,0.02,0.01,0,Ellen Glasgow,In This Our Life,1942,0,0.1,0,0,0,Pulitzer,,,Pulitzer,1938,1930,glasgow_in_this_our_life_In_This_Our_Life,1873-01-01,1945/11/21
275,private,0,0,0,0,0.01,0.01,0,0.02,0.02,0,Tom Clancy,Clear and Present Danger,1989,0,0.1,0.1,0,2,Bestsellers,,,Bestsellers,1989,1990,clancy_clear_and_present_danger_Clear_and_Present_Danger,1947/4/12,2013/10/1
274,private,0,0,0,0,0,0.01,0,0.02,0.01,0,Christina Stead,The Man Who Loved Children,1940,0,0.1,0,0,2,Global,Oceania,,Global,1920,1920,stead_the_man_who_loved_children_The_Man_Who_Loved_Children,1902/7/17,1983/3/31
245,public,0,0,0,0,0,0,0,0.02,0.01,0,Warwick Deeping,The Bridge of Desire,1931,0,0,0,0,0,Bestsellers,,,Bestsellers,1920,1920,deeping_the_bridge_of_desire_The_Bridge_of_Desire,1877-05-28,1950/4/20
244,public,0,0,0,0,0,0,0,0.02,0.01,0,"Campbell, Mrs. Praed",Lady Bridget in the Never-Never Land: a story of Australian life,1915,0,1,0.9,0,3,pre-1923 LitBank,,,pre-1923 LitBank,1920,1910,4051_lady_bridget_in_the_nevernever_land_a_story_of_australian_life,1851-03-27,1935/4/10
273,private,0,0,0,0,0,0,0,0.02,0,0,Ernest J. Gaines,A Gathering of Old Men,1983,0,0.4,0.5,0,1,BBIP,,,BBIP,1960,1960,gaines_a_gathering_of_old_men_A_Gathering_of_Old_Men,1933/1/15,2019/11/5
272,private,0,0,0,0,0,0,0,0.02,0.01,0,Edna Ferber,Ice Palace,1958,0,0,0,0,1,Bestsellers,,,Bestsellers,1950,1955,ferber_ice_palace_Ice_Palace,1885-08-15,1968/1/1
293,private,0,0,0,0,0.01,0.01,0,0.02,0.02,0,Jackie Collins,Hollywood Husbands,1986,0,0,0.3,0,0,Bestsellers,,,Bestsellers,1982,1985,collins_hollywood_husbands_Hollywood_Husbands,1937/10/4,2015/9/19
299,private,0,0,0,0,0,0,0,0.02,0.01,0,Karen Russell,Swamplandia!,2012,0.3,1.1,0.3,0.1,2.4,Pulitzer,,,Pulitzer,1950,1980,russell_swamplandia_Swamplandia!,1981/7/10,
297,private,0,0,0,0,0,0.01,0,0.02,0.01,0,Patrick White,Voss,1957,0,0.3,0.1,0.1,1.8,Global,Oceania,,Global,1939,1957,white_voss_Voss,1912/5/28,1990/9/29
296,private,0,0,0,0.01,0,0,0,0.02,0,0,Patricia Cornwell,Trace,2004,0,0,0,0,2,Bestsellers,,,Bestsellers,1990,1990,cornwell_trace_Trace,1956/6/9,
295,private,0,0,0,0,0,0,0,0.02,0,0,Maxine Clair,Rattlebone,1994,0,0.2,0,0,0,BCALA,,,BCALA,1962,1985,clair_rattlebone_Rattlebone,1939/1/1,
294,private,0,0,0,0,0,0.01,0,0.02,0,0,James Gould Cozzens,By Love Possessed,1957,0,0,0,0,0,Bestsellers,,,Bestsellers,1920,1920,cozzens_by_love_possessed_By_Love_Possessed,1903/8/19,1978/8/9
271,private,0,0,0,0,0,0,0,0.02,0.01,0,Sandra Jackson-Opoku,The River Where Blood Is Born,1997,0,0,0,0,0,BCALA,,,BCALA,1987,1985,jackson_opoku_the_river_where_blood_is_born_The_River_Where_Blood_Is_Born,1953/1/1,
269,private,0,0,0,0,0,0,0,0.02,0,0,Vladimir Nabokov,Pale Fire,1962,0.5,4.7,1.7,0.6,3,Global,Europe,,Global,1950,1950,nabokov_pale_fire_Pale_Fire,1899-04-22,1977/7/2
237,private,0,0,0,0,0,0,0,0.02,0.01,0,Helen Oyeyemi,Icarus Girl,2005,0,0,0.2,0,1.8,Global,Europe,,Global,,2005,oyeyemi_the_icarus_girl_Icarus_Girl,1984/12/10,
243,private,0,0,0,0,0,0,0,0.02,0.02,0,Jacqueline Woodson,Another Brooklyn,2016,0,0.6,0.6,0,0.7,BCALA,,,BCALA,1977,1990,woodson_another_brooklyn_Another_Brooklyn,1963/2/12,
242,private,0,0,0,0,0,0,0,0.02,0,0,Ursula K. Le Guin,The Left Hand of Darkness,1969,1.4,3.3,0.4,0.4,0.2,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1969,1969,leguin_the_left_hand_of_darkness_The_Left_Hand_of_Darkness,1928/10/21,2018/1/22
240,private,0,0,0,0,0,0,0,0.02,0.02,0.01,Iceberg Slim,Trick Baby,1967,0,0,0,0,2,BBIP,,,BBIP,1953,1952,slim_trick_baby_Trick_Baby,1918/8/4,1992/4/28
238,private,0,0,0,0,0.01,0,0,0.02,0.01,0.01,Ama Ata Aidoo,Our Sister Killjoy,1977,0.1,1.9,0.1,0,0.2,Global,Africa,,Global,1978,1980,aidoo_our_sister_killjoy_Our_Sister_Killjoy,1942/3/23,2023/5/31
236,private,0,0,0,0.01,0,0,0,0.02,0,0,Paule Marshall,"Brown Girl, Brownstones",1959,0,0.1,0,0,0,BBIP,,,BBIP,1950,1950,"marshall_brown_girl_brownstones_Brown_Girl,_Brownstones",1929/4/9,2019/8/12
247,,0,0,0,0,0,0,0,0.02,0.01,0,Kiana Davenport,Shark Dialogues,1995,0,0,0,0,0,Global,Oceania,,Global,Uncertain,1985,davenport_shark_dialogues_Shark_Dialogues,,
235,private,0,0,0,0,0,0,0,0.02,0.01,0,Toni Morrison,*Song of Solomon,1977,0.5,3.3,1.2,0.4,1,BBIP,,,BBIP,1977,1977,morrison_song_of_solomon_*Song_of_Solomon,1931/2/18,2019/8/5
234,private,0,0,0,0,0,0,0,0.02,0.03,0,Joyce Carol Oates,Zombie,1995,0,0.2,0.4,0,1,Genre Fiction,Horror,,Genre Fiction：Horror,1983,1985,oates_zombie_Zombie,1938/6/16,
231,private,0,0,0,0,0.01,0,0,0.02,0.04,0,Eowyn Ivey,The Snow Child,2013,0,0.9,0.1,0,0.9,Pulitzer,,,Pulitzer,1920,2000,ivey_the_snow_child_The_Snow_Child,1973/1/1,
230,private,0,0,0,0,0,0,0,0.02,0,0,Joyce Carol Oates,The Wheel of Love,1971,0,0.1,0.1,0,0,Pulitzer,,,Pulitzer,1962,1965,oates_the_wheel_of_love_The_Wheel_of_Love,1938/6/16,
229,private,0,0,0,0,0.01,0,0,0.02,0.01,0,Helen MacInnes,Assignment in Brittany,1941,0,0,0,0,1.8,Genre Fiction,Action/Spy,,Genre Fiction：Action/Spy,1944,1943,macinnes_a_three_novel_omnibus_Assignment_in_Brittany,1907/10/7,1985/9/30
228,private,0,0,0,0,0,0,0,0.02,0,0.02,Susanna Clarke,Jonathan Strange & Mr Norrell,2004,0.1,1.1,0,0,0,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1805,1800,clarke_jonathan_strange_and_mr_norrell_Jonathan_Strange___Mr_Norrell,1959/11/1,
265,public,0,0,0,0,0,0,0,0.02,0,0.01,Paul Laurence Dunbar,The Sport of the Gods,1902,1.9,1.4,1,0.4,2,BBIP,,,BBIP,1920,1900,dunbar_the_sport_of_the_gods_gutenberg_pg17854_The_Sport_of_the_Gods,1872-06-27,1906/2/9
268,private,0,0,0,0,0,0,0,0.02,0,0,Octavia Butler,Patternmaster,1976,0,0.9,0.3,0.1,3.2,BBIP,,,BBIP,Unknown (The passage appears to be from a work of fiction and does not contain any clear indicators of a specific year.),1976,butler_seed_to_harvest_Patternmaster,1947/6/22,2006/2/24
233,private,0,0,0.01,0,0,0,0,0.02,0,0,Nuruddin Farah,Maps,1986,0,0,0.9,0,2,Global,Africa,,Global,1977,1980,farah_maps_Maps,1945/11/24,
248,private,0,0,0,0,0,0,0,0.02,0,0,William Faulkner,The Reivers,1963,0,1.2,0.4,0,1,Pulitzer,,,Pulitzer,1930,1950,faulkner_the_reivers_The_Reivers,1897-09-25,1962/7/6
267,private,0,0,0,0,0,0,0,0.02,0.01,0,Alan Duff,Once Were Warriors,1990,0,0,0,0,1,Global,Oceania,,Global,1984,1985,duff_once_were_warriors_Once_Were_Warriors,1942/1/1,2012/1/1
263,private,0,0,0,0,0,0,0,0.02,0,0,Tom Clancy,The Sum of All Fears,1991,1.1,1.4,0,0.1,3,Bestsellers,,,Bestsellers,1988,1990,clancy_sum_of_all_fears_The_Sum_of_All_Fears,1947/4/12,2013/10/1
261,private,0,0,0,0,0,0,0,0.02,0.01,0,Edwidge Danticat,The Farming of Bones,1998,0,0.8,0,0,3.9,Global,Americas,,Global,Uncertain,2000,danticat_the_farming_of_bones_The_Farming_of_Bones,1969/1/1,
260,private,0,0,0,0,0,0,0,0.02,0,0,Rudolfo Anaya,"Bless Me, Ultima",1972,0.1,3,0,0.2,1,Global,Americas,,Global,1960,1970,"anaya_bless_me_ultima_Bless_Me,_Ultima",1937/10/30,2020/6/28
264,private,0,0,0,0,0,0,0,0.02,0,0,Samuel Beckett,Watt,1953,0,1.2,0,0.6,1.6,Global,Europe,,Global,1922,1930,beckett_watt_Watt,1906/4/13,1989/12/22
256,private,0,0,0,0,0,0,0,0.02,0,0,John Dominis Holt,Waimea Summer,1976,0,0,0,0,0,Global,Oceania,,Global,1920,1940,holt_waimea_summer_Waimea_Summer,1919/6/4,1993/3/29
255,private,0,0,0,0,0,0,0,0.02,0,0,Pearl S. Buck,Dragon Seed,1942,0,0,0,0,2,Bestsellers,,,Bestsellers,1949,1942,buck_dragon_seed_Dragon_Seed,1892-06-26,1973/1/1
253,private,0,0,0,0,0,0,0,0.02,0.02,0,Richard Russo,Empire Falls,2002,0,0,0,0,0,Pulitzer,,,Pulitzer,1996,2001,russo_empire_falls_Empire_Falls,1904/6/15,1976/10/29
252,private,0,0,0,0,0,0,0,0.02,0,0,Thornton Wilder,The Bridge of San Luis Rey,1928,0,1.6,1.1,0.1,1.9,Pulitzer,,,Pulitzer,1920,1940,wilder_the_bridge_of_san_lius_rey_The_Bridge_of_San_Luis_Rey,1897-04-17,1975/12/7
